number,comment,label
1466399831073644545,كيف تبونا ندرس ومتحور كورونا ؟ والا ارواحنا لعبه عندكم,anger
1253683954827300866,الله يلعن الصين ليه ياكلون خفافيش لهدرجه مافي اكل وش السبايك ذول !!!!,anger
1241132769985658887,كمية الاشاعات عن كورونا مستفزة جدددددًا,anger
1428977019510050817,بعد كورونا وانا اعدادات جسمي مضروبه كل شي يختلف عن قبل خصوصا الاكل اللي له ريحه قوية معد اطيقه وهذا شي مزعج,anger
1272781253809504256,فايروس #كورونا خطورته في سرعه انتشاره وهذول ما همهم شي إشارة بسبابة اليد للأسفل ياخي شي يقهر والله ترا انت ممكن تكون سبب اصابه اشخاص مناعتهم ضعيفه وكبار في السن وفرصة شفائهم تكون صعبه,anger
1269498984369926149,أنا ودي افهم وش الحكمه الشخص يخبي انه مخالط حالة كورونا يعني شي يغبن وربي وشي مستفز ي عآالم المشكلة اول يوم بدون اعراض وثاني يوم بدت تطلع اعراض ياعالم الفايروس موب عيب,anger
1382724592595263494,الشيء الي يقهر أن فيه قلة وعي وعدم إحساس بالمسؤولية، بعضهم يكون مخالط لحالة مؤكدة ومع كذا يروح يجتمع ويخالط الناس بدون إهتمام وبدون مايبلغهم انه مخالط لحالة مصابة. خوذوا اللقاح ، أبتعدوا عن التجمعات,anger
1270794824598380550,المنظمات العالمية في حيرة بسبب كورونا وطرق تحديد أعراضه وسبل الوقاية منه ، رغم ذلك نجد في مواقع التواصل كثير من المتحدثين بثقة عن طرق علاجية أو وقاية بلا أسانيد أو علم !! ألا يخجل هؤلاء من المجتمع ومن متابعيهم.,anger
1467650889951367176,صحيفة إسبانية تصور متحور كورونا "أوميكرون" علي شكل مهاجرين أفارقة يسعون دخول أوروبا بشكل غير شرعي...رمزية هذا الكاريكاتير تعتبر دعوة صريحة لبث الكراهية والعنصرية ضد الافارقة...هل هناك فاشية اوقح من ذلك؟؟؟,anger
1467911765430345731,والى متى هالمهزله دام المتحور يصيب الجميع مطعم وغير مطعم,anger
1280497680263917569,#المرور الله يكون في عونهم ..متواجدين في كل مكان وخاصة اماكن التنزه.لكن هناك اهمال من الكثيرين في تطبيق الاحترازات خاصة القادمين للتنزه..بالاضافة لرمي مخلفات الاكل وترك المكان بحالة سيئةجدا دون مراعاة من يأتي بعده و هذه الصورة السيئة تجلب الامراض فضلا عن فيروس كورونا😷😤😤😤😤,anger
1262317685628682240,فعلا هناك وبائين وباء الكورونا و وباء الغباء ، الكورونا بإذن الله سيجدون لها علاج عاجلا أم آجلا بعكس الغباء لا علاج له لا عاجلا ولا آجلا 😤😤😤 #كورونا #العودة_بعد_كورونا,anger
1412749133530775558,الزكمة مو طبيعية 😔حجزت فحص كورونا حسبي الله على الصين 😤 #كورونا,anger
1241367016004517891,اشوف سنابات بعض الهمج طالعين يتمشون واللي مجتمعين واللي مسوين زواج!!!!خييييييير ماتفهمون انتوا ولا ايش سالفتكم هذولا لو جاهم كورونا والله انه حلال فيهم.,anger
1465997907035930631,يارب تستهبل أنت شايف كورونا العادية وش سوت بالشعب؟ وبكل برادة وجه تقول عادي ، يازين من حطك بين هالمصاب وعلمك إن الله حق,anger
1398418584049750017,لو احترفو بطبخ البيض بدل الخفافيش ماكان شفنا كورونا الله ياخذهم بهذلونا,anger
1223557579814645760,الله ياخذهم ياكلوا الفأر والخفاش ثم يمرضون وينكبوا ابو شعوب المظلومه معاهم,anger
1359633994044870660,وش رايك الي فيه كورونا يقصون راسه متخلف انت!! وش الي معه كورونا يجلدونه,anger
1359557829141684236,ياغبي كورونا يامتخلف يقفلوها فتره بسيطه عشان تروح كورونا وترجع تفتح يامريض,anger
1245878132760023042,الناس تفكر في كورونا وانته يامريض تفكر في الدوري اخر همنا الدوري نبغى نعيش بدون الأمراض,anger
1275151583790104576,اللي فيهم كورونا انثبروا في بيوتكم مو تصلون بالمساجد وتتزاورون وماتعلمون احد انه فيكم لهالدرجه انتم وقحين وتبون تعدون الناس !!,anger
1273927526033825793,جعله يجيك كورونا عشان تعرف انه موجود ولا لا,anger
0,تلاعبات و تخويف إعلامي مخطط له لأجل ربح الشركات و إقناع غير الملقحين باللقاح بعد الإحتجاجات الأخيرة... ضحك على الدقون.,anger
0,احسن. عشان الناس نحمدالله ع النعمه والعافيه. ان شاء الله حجر سنه لين تطلع عقولهم,anger
0,لمفروض كلهم عن بعد يعني ناس تنجح من الغش وهم جالسين وناس تذاكر وتتعب !!؟؟؟,anger
1466073096679526402,ايووالله الشائعات هو المرض نفسه,anger
1463901579447316487,حسبنا الله ونعم الوكيل فيمن أجبرنا على هذا السم وضيق ع الناس في حياتهم وأرزاقهم،,anger
1463901579447316487,والله ان مناعتي في تناقص والسبب هاللقاح...حسبنا الله وبس,anger
0,وش السالفه وش جرعته بعد من جد طالت ومصخت,anger
0,والي ياخذها ومرض ولا استفاد ؟ الله يشفيكم,anger
0,الإستمرار في تلقى اللقاحات !!,anger
1466030794225430528,الكمامات لازم يرجع قرار ارتدائها سواء اماكن مغلقة او مفتوحة ، التباعد كذلك .. يوجد تهاون كبير جدا في المحال.,anger
1467479882997379075,وين الحالات النشطة,anger
1466870745385127936,تعرفون ان فيه استهانه بالوقت الحالي لدي البعض في تطبيق الاخترازات,anger
0,تضخيم تضخيم نفخ نفخ نفخ بااوميكرون. وبعدين!!,anger
1463905349283495942,طيب ليه ما صرحتو من البدايه ان جرعه الثانيه لها مده وتنتهي فاعليتها....!,anger
1463995048220139520,الحين يوم اخذت جرعتين تكتبو لي ف توكلنا غير محصن خير؟,anger
1462838199575887876,قسم بالله اني ماخذ جرعتين فايزر جسمي ما شاف الخير بعدها,anger
1462845755576758283,ياشيخ... خلاص مانبغا جرعه خلونا نموت,anger
0,الله يلعن السياسة العالمية الجديدة ، كلها كذب واللقاح هو من يقتل الناس وليس القيروس,anger
0,والله مافي متحور وكورونا غير الاعلام الفاسد كنا من غيركم عايشين بسلام,anger
0,بلا كذب زوجي تلقح والان مريض والسبب مجهول كان بخير قبل اللقاح وانا لن اتلقح ابدا ان شاء الله اللقاح عبارة عن موت بطيء,anger
1311352603591180290,الله يحرق الصين ويحرق كورونا ونرتاححح 😤😤,anger
1237752526583271425,بسبب كورونا الدكتورة زادت علينا التكاليف وذلك بدال حضور المحاضرة على بلاك بورد لانه خربان، والتكاليف جانا خبرها اليوم وتسليمها لازم يكون بكرة ١٠ الصباح ، وذلك لانه وقت المحاضرة اللي ماراح تصير لان البلاك بوررررد خرربان!! البلااااااااك بووووورد خربان!!، الله ياخذ كورونا,anger
1468883075526496257,اقسم بالله كذب كورونا انتو بذات كذابين عليكم غضب الله,anger
1282797215317188610,شايله هم كورونا مقدر اكذب واتعايش معه حاولت بس والله ماقدرت حسبي الله على الصين لا سافرنا مع المسافرين ولا ارتحنا مع المرتاحين حتى ببيوتنا شايلين هم,anger
1466139482911133699,احسن والله طفشنا من سالفة كورونا ومتحوراتها نبي نحس اننا طبيعين ونتعايش مع الوضع دامهم عطونا اللقاح ويخفف الاعراض,anger
1309261086802284544,متى بدها تخلص كورونا زهقنا يعالمم🙂,anger
1242119103135068168,مافي غير كورونا زهقنا اخبار تسد النفس والله,anger
1251869709701722113,عصبت من كورونا والله يارب ارفع عنا البلاء قلب مكسور.,anger
1464510070776111107,اتمنى اني اقدر احظر كلمة كورونا من حياتي !! مو طبيعي بكل مكان تحديثات كورونا خلاص اللي بيصير يصير,anger
1382416714579726337,ليا شهر احاول احجز اللقاح مافي لمتى يعني,anger
1429293799625342987,ياناس ازعجتونا بالمؤتمرات واخرتها خذ الجرعتين غصب عليك حسبنا الله ونعم الوكيل,anger
1268080271804567552,وين الوعي و هو ولا واحد منهم لابس كمام,anger
1261415809617932289,الله ياخذ الصين كان جابت لنا ضغوطات فوق الضغوطات حقتنا💔,anger
1252642193795354628,الصين هي المسؤولة عما يحدث اليوم من تحول الوباء إلى جائحة. لو قال مسؤولوها حقيقة تفشي المرض و اتخذوا إجراءات مشتركة مع باقي دول العالم لتم حجر الصين و منع السفر منها و إليها لانتهى الفيروس في شهر مارس بعد حجر مقاطعة اوباي و مدينة ووهان .,anger
1287793356836425728,حسبي الله عليهم ليل نهار ، المفروض العالم يقاطع الصين ويلغي أي تعاون معهم مهما كانت الظروف,anger
1242878476711071744,قرارات غير مدروسة، ودون توفير للبدائل أو النظر في العواقب جعلت #حظر_التجول كارثة، وساعدت على التكدس في وسائل المواصلات بطريقة تنذر بعواقب وخيمة، وأسأل الله أن يحفظ #مص ر وأهلها الطيبين. #كو رونا,anger
1312109077506400259,المذيعه.لم.ترتدي.الكمامه.البلد.سايبه,anger
1384848968916549634,للاسف بإستهتاركم تسجيل 1028 إصابة جديدة ب #كورونا . . . يومين نحلق فوق ال ١٠٠٠ إصابة وهذا الرقم لم نسجل مثله من ٨ شهور !!!,anger
1261714491567493121,يعني الشعب بيقول سبب زيادة الحالات العمالة طيب انتا مو ملتزم !.. ونسبة السعوديين زادت الفترة الاخيرة شي غريب الصراحة يا ليت نشوف نفسنا كشعب ملتزمين او لا بعدين نتكلم على العمالة.,anger
1249177017922260992,اشوف ناس زعلانيين انهم مددو الحظر ؟! سلامات ؟ ماتشوفون الحالات كل يوم تزيد,anger
1351518350040571905,سلامات رجعت تزيد الحالات,anger
1232186030310281218,ياجماعه كورونا بدا يصير وباااء والامر جدا قوي ليه ذا التهاون الي قاعده اشوووفه,anger
1358960382111580161,ليه الرياض تصدرت في ارتفاع الحالات اش الوضع ليه التهاون والاستهتار يامتخلفين لين ارتفعت وانتشر الوباء بشكل مو طبيعي,anger
1361512696013869058,ليه ماتلتزمون ياخي !! متحدث الداخلية قال الاجراءات بسبب التهاون مو بسبب ارتفاع الحالات,anger
1268895857606299648,هالهمج بسببهم بنجلس سنة كامله محجورين وبعدين معكم يعني ليه ماتلتزمون,anger
1356585002918674434,البسوا كمام لاتتجمعون افهههموا ، مانبي يجي حظر وبعدين تفوتنا اجواء رمضان والعيد زي السنة اللي راحت,anger
1401583800757465093,اللي اخذ اللقاح الله ينفع به واللي مو مأخذين محد غاصبكم بس لاتنشرون خرفات وكذب تخوفون الخلق وصلت الجرعات بالعالم ٢ مليار الحمدلله الله يرفع هالمرض وشكرا لوزارة الصحة حرصهم وجلبهم افضل اللقاحات,anger
1455998206941306884,(Pouting face) ملينا من الكمامه -1,anger
1401286978679840770,وكالعادة كلام مكرر وعدم شفافية -2,anger
1415736534326722564,كفايه تخويف و إحصائيات الى متى ماتوا الناس من الخوف و الاكتئاب -3,anger
1469643109189492740,يعني والحل ؟ نعيش حياتنا كله تحت تجارب التطعيم حسبي الله ونعم الوكيل فيهم -4,anger
1464270139302584324,لا حول ولا قوة الا بالله العلي العظيم معصبانهيار اسعار النفط تزامنا مع أنباء عن انتشار متحور كورونا جديد. -6,anger
1426227860834975749,الله ياخذ كورونا. -8,anger
1270298744584654853,الله يحمي كل اللي احبهم من كورونا والله ياخذ كل شخص مايلتزم بالاحترازات وينقل العدوى للناس بدون ذمة ولا ضمير -9,anger
1241460233169403904,قسماً بالله غباء الناس واستهتارهم وعدم الاحساس بالمسؤولية شي ينرفز ويرفع الضغط -10,anger
1466788211758407686,ثنتين مشيناها اما ثلاث سلامات,anger
1466027251397541891,خلاص ما نبي لا لقاحات ولا أقراص خلوها لكم,anger
1466537588039294981,يعني كورونا ومتحورات المرض وفقدنا ناس نحبهم بسبب المرض ذا ونعاني حزن وغياب لحد الان .... ويجي واحد يقول لاتصيروا مهرجين بس تضحكوا صامل على الرسميات ي ثقالة الدم بس,anger
1467479348630499329,توكل مانبي القاح لو تحب كوعك مايدخل جسمي اتركو الناس بحالها الي يبي القاح ياخذه ولا مايبه مو اجباري,anger
1466748703784505344,خير ان شاء الله؟ تبونا نمرض وبعدين تحطوا حظر التجول وتزيد الامراض! احسن شي تسوو عن بعد لجميع المراحل مو بس ابتدائي في راحه واحنا في هلاك مصختوها!!,anger
1343987565192503299,انا عرفتكم من عام ٢٠١٨ والى اليوم سوء خدمتكم يزداد سوء ومع كورونا اتمنى تقفلون لان مامنكم فايدة اليوم ١٠ ديسمبر والمفترض شحنتي توصل ٢٦ نوفمبر والى الان ماوصلت بسبب فقط رقم جوال خطأ,anger
0,واللي أقلقتهم وآذيتهم ونكدت عليهم وضيقت عليهم كيف تعتذر؟,anger
0,الهدف منها تخويف الناس حتى ياخذون اللقاح,anger
0,تغريدة اخرى ليس فيها اي مصداقية ولا دليل يثبت هالكلام,anger
0,خطتهم هي قتل الناس نفسيا واضعاف مناعتهم عن طريق التخويف والترعيب,anger
0,والله أنتم مسبب الرعب والقلق,anger
0,سلسلة من المتناقضات في مسرحية كورونا,anger
0,ماافهم ليش ترويع المسلم؟ةةة,anger
0,انا ادافع عن حرية اختياراتي الصحيه مايجوز اجبر على علاج,anger
1294709053357199363,الله ياخذ كورونا دمر حياتي,anger
1262123277687930880,الله يلعن كورونا الي دمر حياتي ونفسيتي,anger
1464855063088840706,انا اظن بس الفايزر اللي يسمحون به حسبي الله على كورونا ومن جابها علينا,anger
1263222685590523904,اذا خلصت كورونا وردت حياتنا طبيعية وسمعت احد قال ملل راح اطقه والله,anger
1458291828650881028,كورونا منتشره جدا بلاش استهتار في صحتكم والبسوا الماسك وقللوا من الخروج والمناسبات الاجتماعيه الفتره دي بس ، ربنا يشفي كل مريض,anger
1279523266454081539,عندي مشكلة مع أي شخص يقول مافي شي اسمه #كورونا وكله كذب في كذب واصلاً الي قاعدين يموتوا كل يوم نفسية !!!! اقسم بالله يا في عالم جاهلة ومسكينة بيننا.. #بس_بقول #عالم_غريب #السعودية,anger
1265297570194227201,#التباعد_الاجتماعي بعض الناس يتهاونون بالتعليمات بشكل مزعج، لدرجة ان #كورونا نفسه عجز يفهمهم!,anger
1283214311406665730,اللي جاهم #كورونا يستمر الم الصدر حتى لو الكتمة والكحة راحت؟ احس بضغط في وسط صدري الم مزعج بس مو قوي,anger
1264168171847761920,#كورونا استغفراللهه بس خلاص احس مالي خلق اسمع او اشوف شي عنهرفع ظهر اليدوجه عابس.,anger
1240392835544879105,كمية جهل و عناد مع أزمة #كورونا والله تجلط الواحد قسماً بالله و تخرجه من طوره مع الأزمات تظهر الناس الواعية والغير واعية و تقدر تميّز بينهم,anger
1310255330853556225,كل الملامة على الذين مستهترين في لبس الكمامة #كورونا,anger
1420100679344041992,فقدان الشم مزعج مزعج مزعج الله حسيبك يا #كورونا,anger
0,الله ياخذ الصين يارب الله ينتقم منهم,anger
0,الصين هي السبب في هذا الوباء احسبنا الله فيهم الم من تستروا من اجل المصلحه الشخصيه,anger
0,الله ينتقم منهم شر انتقام,anger
0,الله ياخذ حكومه الصين الملحده المجرمه,anger
0,اجل شالفايده نأخذ اللقاح! واجباري بعد وش فايدته مايكفي الجرعتين بتزودون,anger
0,حسبنا الله ونعم الوكيل. في من كان السبب.,anger
0,الله يسد نفسكم😡,anger
1468625316784619532,انا عمدي اقتراح ليش ما تقفلو ملف كورونا، وبسكم ؟,anger
1265909296270893056,يعني الحجر الشهور اللي راحت راح كذا ؟ خربتوها ب أول يوم ؟ معقوله كلكم م عندكم اطفال ، كبار سن بالبيت ؟؟ و ي ليته ع وعي خروجكم ذا ، الاغلبيه لا كمام و لا قلفز ولا شيء ، كأن وزير الصحه كان يطقطق 🙂.,anger
1265895430149353474,اقسم بالله ان اللي جالس يصير مهزله ، ضيعتو تعب ناس ضحوا بانفسهم طول فترة الحجر وبساعات يشوفون هذا التسيب والامباله ، الكتاب باين من عنوانه اتمنى ان يرجعون الحظر 24 ساعه حتى تنتهي هذي الازمه . نعتذر لجميع القطاعات اللي تعبو خلال الفتره,anger
1243213714645532677,الرجل هذا معصب بسبب انتشار فايروس كورونا من لحم الخفافش !,anger
1237829542724751362,يورغان كلوب غاضب من الجماهير بسبب فايروس كورونا .. ( ابعدوا أيديكم أيها الاغبياء ),anger
1412341547413164034,انا بالحضوري امثل انه فيني اعراض كورونا عشان محد يسولف معاي لانه مالي خلق احد,anger
1396867913324302351,أحس يارب مافيني كورونا لأن مالي خلق لها,anger
1250372031113318401,اكثر شي منرفزني في موضوع كورونا انه بعد ماتمسك اي شي لازم تغسل 😤,anger
1301909329000435712,لليوم الثاني الله ياخذ كورونا على كثر ماهو منرفزني 😤.,anger
1453349524639031299,بس ليه بعد كورونا حسيت اني مالي خلق لشيء ولا عندي شغف لحاجه ولا يفرق معايه اشياء هل هذا طبيعي؟,anger
1251869709701722113,عصبت من كورونا والله يارب ارفع عنا البلاء 💔.,anger
1284117492462428161,بس وربي عصبت الله ياخذ كورونا حرمني من واجد أشياء ونسيت أمور كثيرة,anger
1234518845379039233,للامانه كنت مبسوطه اننا ما جانا كورونا نرفزني هذا اللي جاي من ايران,anger
0,لقاحاتهم فاشله يبعون ويشرون فيها ويضحكون ع الدقون والأغبياء إذاا ضحكوا علي المرة الاولى والمرة الثانية ماراح يضحكوا علينا مايطيح مرتين الا أخس الطيور,anger
1465929704863674371,الحين شلون نسافر والا نقعد وحجزنا شنسوي فيه !! الله ياخذ كورونا,anger
1467531384734556167,اوك ؟ و بعدين كم عدد الجرعات المطلوبه حتى يتوقف منعنا من معيشتنا عشان كلمة محصن؟ وين رايحين؟,anger
1467475944562700291,الجرعه الثانيه وقفتو الدنيا عشانها وانها مهمه والحين الثالثه مهمه وبتوقف الدنيا عليه استهبال وربي,anger
1467476414421250052,ليش وحنا فئران تجارب بعد شهرين يقولو لازم اللقاح الرابع و الخامس إجباري,anger
1468491209085698053,الله ياخذ كورونا والكمامه صايره تطلع لي حبوب صغااار بخدودي منهاااا,anger
1467297349928210435,الاكل كان متعتي الوحيده ومن يوم جاني كورونا وانا للحين مو قادره استطعم الاكل الله ياخذ كورونا تعبني,anger
1466873570932498437,اكثر سنتين مظلومين فيها الوقت بيعدي وتنحسب الايام علينا ولا سوينا شي الله ياخذ كورونا,anger
1468969148696854535,بكرة عندنا عرس، تعرفوا من متى ما داخلة عرس ؟ الله ياخذ كورونا بس.,anger
0,الله لا يوفقهم هم من نشروا الفيروسات وأحضروها إلى افريقيا مثلما ظهرت الحمة في سنة 1918 في امريكيا ونقلوها إلى افريقيا عبر جثث موتى ونقلها في سفن حسبنا الله ونعم الوكيل .,anger
1466787803858149385,لا عيني خييييييير شعندكم علينا الجرعتين واخذناها زد تجيبو الثالثه حطو عن بعد وخلاص م رح ينتشر مرض ولا شي.,anger
1466787832459141127,هذا اللي يبغونه مسار لقاحات لا ينتهي لين تنتهي ارواح البشر.,anger
1467038267140939784,ياليل مطولك والجرعتين اللي أخذناها ماتكفي ترى اللي الله كاتبه بيصير حتى لو أخذنا ثلاث جرعات.,anger
1467091295369891840,ياخي الحين تعبنا على الجرعتين و يقولن ثالثه تبون تموتونا !!,anger
1466888047799193603,ثنتين ماجابت نتيجه وشافوا الناس مافيها إلا العافيه قالوا نخترع لهم مرض جديد وجرعه ثالثه وياخوفي تكون الثالثه ثابته.,anger
1466877479302447106,ماراح اخذها بقعد عن بعد تقعد تعورني واداوم غصب خير.,anger
1467035705801072640,توني ماخذه الجرعه الثانيه ولعبت فيني لعب حسبي الله ونعم الوكيل ماراح اخذ الثالثه.,anger
1467051115233660929,خير خير يعني انا اللقاح مأثر علي من رواه صرت امرض كثير ومستحيل اخذ الجرعه هاذي ابدا.,anger
1466540258154061832,عملتو ضجه من لاشي لكن الله موجود وسيبطل مسعاكم عن قريب ان شالله حق المظلوم لن يذهب,anger
1465010735516467212,بالضيعنا هالمنظمه والمشكله متحكمه فينا الله يبعد شرهم عنا يارب ان شالله الله يفتح بصيره الامه الاسلاميه,anger
1463916591163351043,وتسمونها أخيرة بعد؟ كذب عيني عينك، طيب اللي ماتلقح الله يحفظه وش معنى المعمعة ذي ماصارت له ومناعته الله يبارك له هي هي ماتغيّرت؟,anger
1463923192997855241,طيب ومناعه الخالق وين راحت خليتو اعتمادكم على اللقاح ونسيتو مناعه الخالق والكريات البيضاء التي تقتل الفيروسات ولا ماتت مع اللقاح,anger
1463944102337200130,ما شبعتوا كذب خلاص كفاية خلونا نعيش ريحونا ،، ما نبي جرعة تنشيطية كل واحد حر في نفسه,anger
1463903104026529803,لا جرعه لا كمامه و لا خوف .. فكونا شلكم ربي بنجم من الفضاء معد يبقى فيكم ظالم,anger
1465991585116704773,مؤتمر صحفي لاجل ارعاب الناس الحل مع اوميطرون هو عزل جميع مواقع و قنوات الاعلام بما فيه متحظث الصحه كفايه ارعاب و ارهاب المسلمين,anger
1465966749111795713,اقفلوا الحدود قبل يقع الفاس في الراس لاسمح الله تعبنا لانستطيع تحمل الاغلاق مرة اخرى بسبب فتح الحدود لانرغب بان ياتينا احد حتى ينتهي المتحور نهائيا,anger
1466817879018516484,اين ذهب شعار الصحة الوقاية خير من العلاج من كل هذا ؟!! لماذا لم يتم اتخاذ التدابير الازمة قبل ظهور اول حالة من المتحور الجديد ودخول في مؤتمرات ما لا نهاية لها,anger
1465967436071673856,اوقفو التجمعات البشريه,anger
1449008458070646788,هذا يثبت ان حتى خوفك على صحتك مبرمجة على اساس انظمة و مخالفات و بمجرد كلمة (الغاء) تلعب بحسبتك من اول وجديد …. ان قالوا لك طب في النار طبيت لا تصير دمية او جسد بلا قيمة حكم عقلك انت ادرى بصحتك,anger
1452986578394046465,طبعاً العدد في ارتفاع وبالذًات الرياض علشان الإنفلات بسبب موسم الرياض والمباريات أتوقع راح تزيد النسبه يوميًا لاقدًر الله إذا استمرًت الفوضى وعدم التباعد,anger
1400069517112492034,نطالب حضر كامل مايطلع من البيت اللي مأخذ اللقاح,anger
1271421549447389185,حلو حلو الرياض تزيد 100 وجدة تتقص 100 استمروا يالمستهترين.,anger
1466794190378045448,غباء غير طبيعي خلاص كل شيء مفتوح وحتى المحلات نادر تطلب توكلنا والكل يشيل الكمامات وقفت عليهم، كورونا بيخلي كل العالم الي تداوم وسوف يستهدف الاطفال في مدارسهم يعني اخخ,anger
1467263370948657153,اولاً لا لقاح يفيد ولا شيء مراح يسوي شيء ذا عقاب من الله افهمو الله غضب فانزل عليكم العذاب والعقاب في ناس اخذت جرعتين وتوفت وفيها كورونا هل هاذا يدل على ان لقاح يفيد؟!!!,anger
1274472005564334081,افهمو كورونا ما راح!,anger
1292808489497174018,حسبنى الله ونعم الوكيل فيكم اتت الخماسية وذهبت الانسانية الناس هتموت افهمو #الغوا_دوري_كورونا,anger
1317733440289124353,لازم عن بعدد افهمو فيه كورونا #صحتنا_امانه_بأعناقكم_AOU,anger
0,اسأل الله ان يهمه ويكرب عليه مثل ما سوى بالطلاب,anger
0,شكراً وزير الصحه حيث وجهت ودليت ولكن الناس لاحياة لمن تنادي؟؟ اليوم الرابع لي من الإصابه بسبب العيد وبسبب تهاون بعض الأشخاص هداهم الله في اتخاذ الاجرآءت الاحترازيه,anger
0,اقول عاد ترا مو حلاو هو,anger
0,طيب فيه شباب امس جو من اسبانيا ماخفتو انهم جايبين المرض معهم على طول يداخلو مع الناس ولا انعزلو عنهم مقهوره منهم مدري وش عقولهم الي يروحو ويجو ويخالطو الناس ولا معبرين انه يمكن يظرو بلد بالكامل بسبب استخفافهم,anger
0,مايكفي استهبال على الناس نهاية الفلم متى خلاص سرقتوا الصندوق الصحي كفاية كذ,anger
0,ي حوووول قبل شوي كنت جالسه اقول ماعندنا ولا حالة 😖 حسبنا الله ونعم الوكيل على ايران نشرت كورونا للبلدان العربيه😡😡,anger
